method,count,transition_path
repair_loop,113,PASS
repair_loop,8,EXEC_FAIL:SyntaxError → EXEC_FAIL:SyntaxError → PASS
repair_loop,4,TEST_FAIL:AssertionError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError
repair_loop,4,TEST_FAIL:AssertionError → PASS
repair_loop,4,EXEC_FAIL:SyntaxError → PASS
repair_loop,2,EXEC_FAIL:AssertionError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError
repair_loop,2,EXEC_FAIL:SyntaxError → EXEC_FAIL:SyntaxError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError
repair_loop,2,TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError
repair_loop,2,TEST_FAIL:AssertionError → EXEC_FAIL:SyntaxError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError
repair_loop,1,TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → PASS
repair_loop,1,EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError
repair_loop,1,TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → EXEC_FAIL:SyntaxError → EXEC_FAIL:SyntaxError → EXEC_FAIL:SyntaxError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError
repair_loop,1,EXEC_FAIL:SyntaxError → EXEC_FAIL:SyntaxError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:SyntaxError → EXEC_FAIL:SyntaxError → EXEC_FAIL:SyntaxError → TEST_FAIL:AssertionError → EXEC_FAIL:NameError → EXEC_FAIL:SyntaxError → EXEC_FAIL:SyntaxError → EXEC_FAIL:SyntaxError → EXEC_FAIL:NameError → EXEC_FAIL:SyntaxError
repair_loop,1,EXEC_FAIL:TypeError → EXEC_FAIL:NameError → PASS
repair_loop,1,TEST_FAIL:AssertionError → EXEC_FAIL:SyntaxError → TEST_FAIL:AssertionError → EXEC_FAIL:SyntaxError → PASS
repair_loop,1,TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → EXEC_FAIL:SyntaxError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError
repair_loop,1,TEST_FAIL:AssertionError → EXEC_FAIL:SyntaxError → EXEC_FAIL:SyntaxError → TEST_FAIL:AssertionError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:NameError
repair_loop,1,EXEC_FAIL:AttributeError → EXEC_FAIL:NameError → EXEC_FAIL:NameError → EXEC_FAIL:SyntaxError → PASS
repair_loop,1,TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → EXEC_FAIL:SyntaxError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → EXEC_FAIL:SyntaxError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError → TEST_FAIL:AssertionError
repair_loop,1,EXEC_FAIL:ValueError → PASS
